Flow,P_bar,T_C,MA,Power,S6_Pres,Status,Method
500,3.0,-111.0,-5.696516069646435,593.904439025549,14.934040078723621,Optimized,Anchor
600,3.5,-109,2.1149077548601554,762.8535898953731,15.81669896264574,Optimized,GridScan(Fallback)
1100,5.6,-101,2.073393710752839,1114.22030499101,26.710285602961545,Optimized,GridScan
1500,7.4,-99.0,2.408593951266525,1447.755527917191,35.041507319651934,Optimized,Anchor
1400,6.9,-98,2.076977146072579,1343.9402110227031,33.07863109491509,Optimized,GridScan
1100,5.6,-101,2.0736447966933014,1114.2252538737516,26.710066044270082,Optimized,GridScan
1000,5.3,-104.0,1.5296042087994692,1090.12788954141,23.511104791297292,Optimized,Secant
900,4.8,-103,2.5870167860265383,970.541025228944,23.017690091393625,Optimized,GridScan(Fallback)
800,4.5,-112.11475046816973,1.9976995048128146,955.0514360379265,19.731494355400063,Optimized,Secant
600,3.6,-107,2.2564568535246963,770.5099180387277,16.947284635381205,Optimized,GridScan(Fallback)
500,3.0,-111.0,1.7071856495343525,674.2458362950626,13.415581201278847,Optimized,Anchor
