MassFlow,P_bar,T_C,Power_kW,MA_C,S6_Pres_bar,Note
500,3.1,-116.0,205.8,2.43,14.17,VERIFIED
600,3.5,-112.0,232.21,2.18,16.14,VERIFIED
700,4.0,-112.0,265.39,2.14,18.59,VERIFIED
800,4.5,-115.0,295.74,0.7,21.22,VERIFIED
900,4.8,-110.0,317.0,0.6,22.49,VERIFIED
1000,5.3,-106.0,348.46,1.77,25.33,VERIFIED
1100,5.5,-101.0,358.22,0.62,26.5,VERIFIED
1200,5.9,-100.0,386.37,0.68,28.31,VERIFIED
1300,6.3,-100.0,415.76,0.56,29.89,VERIFIED
1400,6.7,-100.0,0.0,0.0,0.0,EXTRAPOLATED
1500,7.1,-100.0,0.0,0.0,0.0,EXTRAPOLATED
