Flow,P_bar,T_C,Power,MA,S6_Pres,Status
500.0,3.1,-116.0,694.8016545895974,2.4488278696888557,14.046311338126927,OK
600.0,3.5,-112.0,762.7131803132538,2.235575699117156,15.950182947239373,OK
700.0,4.0,-112.0,856.6205863262288,2.2835736655477206,18.135920576024475,OK
800.0,4.5,-115.0,952.3003946625114,1.1774095215309615,20.420057007580148,OK
900.0,4.8,-110.0,987.356025055417,0.5427779001328901,22.54886265788218,OK
1000.0,5.3,-106.0,1082.2852910174554,2.3981836948493935,24.576357297071027,OK
1100.0,5.5,-101.0,1103.775819191818,1.4135981578608607,25.72358338961227,OK
1200.0,5.9,-100.0,1166.3632241244384,1.04348966592665,28.010909503568797,OK
1300.0,6.3,-100.0,1238.3258680028587,0.5357659556113958,29.910691467947508,OK
1400,6.7,-100,,,,FAILED (Sim Limit Reached)
1500,7.4,-100,,,,FAILED (Sim Limit Reached)
