MassFlow,Pressure,Temp,MinApproach,Power,P7
1100,5.8,-98,2.5921386354961555,1440.4553259960849,35.19021495102841
500,2.8,-105,2.5034728599314917,778.6493126243565,17.638768465100476
600,3.3,-109,2.2041051003098744,774.8061795059284,27.173947627058183
1000,5.2,-98,2.2726694633514057,1446.2544165535712,34.889229309881735
600,3.3,-97,2.2726694633514057,1446.2544165535712,34.889229309881735
700,4.2,-98,2.365958769548172,1080.486614887832,30.445851692920833
700,4.1,-93,2.3659445016243694,1080.4864856848685,30.445839707974432
1300,6.7,-89,2.5862588943287506,1128.1255086840604,35.569293029370286
900,4.8,-98,2.5884790632174486,1128.1406290937985,35.57070289590477
500,3.0,-109,2.074651245210987,656.9518088898092,14.183101905957495,Unified Optimized
600,3.5,-109,2.122149458375418,762.806379696289,15.81998312698543,Unified Optimized
700,3.9,-108,2.3781873487113785,831.3632688929154,17.78429979481167,Unified Optimized
800,4.4,-106,2.6275781574132395,919.7680108554287,20.235427549008186,Unified Optimized
900,4.8,-104,2.471773821170757,984.5139826414803,22.44174620100986,Unified Optimized
1000,5.2,-102,2.115266745529752,1039.0048375213357,24.994599382397226,Unified Optimized
1100,5.6,-102,2.0594088836892297,1123.4698808612184,26.32258045907926,Unified Optimized
1200,6.1,-99,2.20572080948358,1190.3632387580608,29.644852530448592,Unified Optimized
1300,6.5,-99,2.2923160332481984,1273.4783952769442,31.1500782737082,Unified Optimized
1400,6.81,-98.0,1.4461225639676059,1333.697453707595,32.20242073643589,Unified Optimized
1500,7.4,-99.0,2.4103748982107334,1447.8087659096864,35.03882418144514,Unified Optimized
500,3.0,-111,2.345693319075707,670.306408150642,13.663419648377566,Unified Optimized
1500,7.4,-99.0,2.102419442493556,1440.3081706076428,35.41809746678538,Unified Optimized
500,1.99,-111.0,-25.82995144745979,469.1602572390771,8.627556157813274,Unified Optimized
600,3.5,-107,2.124752865726009,747.5805534591098,16.549130620933752,Unified Optimized
500,3.0,-111.0,2.023600986646784,672.3707888492866,13.537668698269004,Unified Optimized
600,3.6,-106,2.3339385791243217,757.3229981157082,17.370064158591635,Unified Optimized
500,3.0,-111.0,-2.2729519226054435,684.6731798134118,11.995895189429444,Unified Optimized
1000,5.2,-104,2.2567149779889775,1062.883823832458,23.80865925175884,Unified Optimized
1100,5.7,-103,2.656433827573551,1154.1583961522797,26.169485920316824,Unified Optimized
